目标ID,部件ID,三维模型数据文件
MB4002,BJ0001,BJ0001.stl
MB4002,BJ0002,BJ0002.stl
MB4002,BJ0003,BJ0003.stl
MB4002,BJ0005,BJ0005.stl
MB4002,BJ0006,BJ0006.stl
MB4002,BJ0007,BJ0007.stl
MB4002,BJ0008,BJ0008.stl
MB4002,BJ0009,BJ0009.stl
MB4002,BJ0010,BJ0010.stl
MB4002,BJ0011,BJ0011.stl
MB4002,BJ0012,BJ0012.stl
MB4002,BJ0013,BJ0013.stl
MB4002,BJ0014,BJ0014.stl
MB4002,BJ0015,BJ0015.stl
MB4002,BJ0016,BJ0016.stl
MB4002,BJ0017,BJ0017.stl
MB4002,BJ0018,BJ0018.stl
MB4002,BJ0019,BJ0019.stl
MB4002,BJ0020,BJ0020.stl
MB4002,BJ0021,BJ0021.stl
MB4002,BJ0023,BJ0023.stl
MB4002,BJ0024,BJ0024.stl
MB4002,BJ0025,BJ0025.stl
MB4002,BJ0027,BJ0027.stl
MB4002,BJ0028,BJ0028.stl
MB4002,BJ0029,BJ0029.stl
MB4002,BJ0030,BJ0030.stl
MB4002,BJ0031,BJ0031.stl
MB4002,BJ0032,BJ0032.stl
MB4002,BJ0033,BJ0033.stl
MB4002,BJ0034,BJ0034.stl
MB4002,BJ0035,BJ0035.stl
MB4002,BJ0037,BJ0037.stl
MB4002,BJ0038,BJ0038.stl
MB4002,BJ0040,BJ0040.stl
MB4002,BJ0041,BJ0041.stl
MB4002,BJ0043,BJ0043.stl
MB4002,BJ0044,BJ0044.stl
MB4002,BJ0045,BJ0045.stl
MB4002,BJ0046,BJ0046.stl
MB4002,BJ0047,BJ0047.stl
MB4002,BJ0048,BJ0048.stl
MB4002,BJ0050,BJ0050.stl
MB4002,BJ0051,BJ0051.stl
MB4002,BJ0053,BJ0053.stl
MB4002,BJ0054,BJ0054.stl
MB4002,BJ0055,BJ0055.stl
MB4002,BJ0056,BJ0056.stl
MB4002,BJ0057,BJ0057.stl
MB4002,BJ0058,BJ0058.stl
MB4002,BJ0059,BJ0059.stl
MB4002,BJ0060,BJ0060.stl
MB4002,BJ0061,BJ0061.stl
MB4002,BJ0062,BJ0062.stl
MB4002,BJ0063,BJ0063.stl
MB4002,BJ0064,BJ0064.stl
MB4002,BJ0066,BJ0066.stl
MB4002,BJ0067,BJ0067.stl
MB4002,BJ0068,BJ0068.stl
MB4002,BJ0069,BJ0069.stl
MB4002,BJ0070,BJ0070.stl
MB4002,BJ0071,BJ0071.stl
MB4002,BJ0072,BJ0072.stl
MB4002,BJ0074,BJ0074.stl
MB4002,BJ0075,BJ0075.stl
MB4002,BJ0076,BJ0076.stl
MB4002,BJ0077,BJ0077.stl
MB4002,BJ0078,BJ0078.stl
MB4002,BJ0079,BJ0079.stl
MB4002,BJ0081,BJ0081.stl
MB4002,BJ0082,BJ0082.stl
MB4002,BJ0083,BJ0083.stl
MB4002,BJ0084,BJ0084.stl
